updated,review_count,description,video_url,author,item_name,rating_value,downloads,content_rating,author_link,developer_badge,price,url,developer_id,version,file_size,address,genre,id,iap,compatibility
16 May 2017,"57,595",,,Moonfrog,Baahubali: The Game (Official),4.4," 1,000,000 - 5,000,000 ",Rated for 7+,https://www.google.com/url?q=http://moonfroglabs.com&sa=D&usg=AFQjCNGHfCnFaWnvmFdUNnh6i5HqtqjpEw,,,https://play.google.com/store/apps/details?id=com.bahubali.game,/store/apps/dev?id=5236132833572659868,,,"16/3, Level 3, Adarsh Yellavarthy Centre
Cambridge Road, Ulsoor
Bangalore - 560008
Karnataka, India",Strategy,com.bahubali.game,Offers in-app purchases,
,,,https://www.youtube.com/embed/vFM1I1IclqA?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,KONAMI,PES2017 -PRO EVOLUTION SOCCER- (Unreleased),,,,https://www.google.com/url?q=https://www.konami.com/wepes/mobile/&sa=D&usg=AFQjCNFEZtoF_nyelDnhX3jGMQSldpdaNA,Top Developer,,https://play.google.com/store/apps/details?id=jp.konami.pesam,/store/apps/developer?id=KONAMI,,,東京都港区赤坂9丁目7番2号,Sports,jp.konami.pesam,,
15 May 2017,"18,147,060",,https://www.youtube.com/embed/g_vo-QBbCcA?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,King,Candy Crush Saga,4.4," 500,000,000 - 1,000,000,000 ",Rated for 3+,https://www.google.com/url?q=http://candycrushsaga.com/help/&sa=D&usg=AFQjCNErXg-BAjVVqATAgYjs6BhrQdfeFw,Top Developer,,https://play.google.com/store/apps/details?id=com.king.candycrushsaga,/store/apps/dev?id=6577204690045492686, 1.100.0.3  ,,"King.com Limited
Aragon Business Centre, Level 4, Dragonara Road, St Julians STJ3140, Malta",Casual,com.king.candycrushsaga,Offers in-app purchases, 1.100.0.3  
27 October 2016,"3,485,754",,,Imangi Studios,Temple Run,4.3," 100,000,000 - 500,000,000 ",Rated for 3+,https://www.google.com/url?q=http://www.imangistudios.com/contact.html&sa=D&usg=AFQjCNHmJGmIKtvMBmjP32ju-nrNezjqDg,Top Developer,,https://play.google.com/store/apps/details?id=com.imangi.templerun,/store/apps/developer?id=Imangi+Studios, 1.6.2  ,,"Imangi Studios
9650 Strickland Road Suite 103-108
Raleigh, NC 27615",Arcade,com.imangi.templerun,Offers in-app purchases, 1.6.2  
22 December 2016,"278,773",,,baklabs,Taxi Game,3.8," 10,000,000 - 50,000,000 ",Rated for 3+,mailto:funmaker3d@gmail.com,,,https://play.google.com/store/apps/details?id=com.baklabs.taxi.simulator,/store/apps/developer?id=baklabs, 1.3.0  ,,,Simulation,com.baklabs.taxi.simulator,, 1.3.0  
12 April 2017,"12,632,320",,,Outfit7,My Talking Tom,4.5," 100,000,000 - 500,000,000 ",Rated for 3+,https://www.google.com/url?q=http://outfit7.com/contact/android/&sa=D&usg=AFQjCNFq0dxCibfbkcdFaRGXWExU5_vJKg,Top Developer,,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfree,/store/apps/dev?id=5950758182267281572,,,"Outfit7 Inc.
1 Sansome Street
Suite 3500-#7091
San Francisco
CA 94104
United States",Casual,com.outfit7.mytalkingtomfree,Offers in-app purchases,
11 October 2016,"257,070",,,Magnat Mobile,Real Drift Racing : Road Racer,4.2," 10,000,000 - 50,000,000 ",Rated for 3+,mailto:coco842863@gmail.com,,,https://play.google.com/store/apps/details?id=com.magnat.extreme.trafficcar,/store/apps/developer?id=Magnat+Mobile, 1.0.1  ,,"Des Voeux Rd W,Sai YingPun, Hong Kong",Racing,com.magnat.extreme.trafficcar,Offers in-app purchases, 1.0.1  
11 May 2017,"23,399,214",,https://www.youtube.com/embed/fUk_eBKL3q8?ps=play&vq=large&rel=0&autohide=1&showinfo=0&autoplay=1,Kiloo,Subway Surfers,4.5," 500,000,000 - 1,000,000,000 ",Rated for 3+,https://www.google.com/url?q=http://www.kiloo.com/support&sa=D&usg=AFQjCNHPPTHk0ESDJcmKNT1YQFWmicWf9w,Top Developer,,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,/store/apps/dev?id=5062298237373103345, 1.71.1  ,,"Kiloo
Klostergade 28, 1. sal
8000 Aarhus C",Arcade,com.kiloo.subwaysurf,Offers in-app purchases, 1.71.1  
4 March 2017,"105,149",,,RAY3D,Shoot Hunter-Gun Killer,4.2," 10,000,000 - 50,000,000 ",Rated for 12+,mailto:wanglei99999@gmail.com,,,https://play.google.com/store/apps/details?id=com.ray3d.shootsniper,/store/apps/developer?id=RAY3D, 1.0.5  ,,wanglei99999@gmail.com,Action,com.ray3d.shootsniper,, 1.0.5  
26 April 2017,"7,207,847",,,Imangi Studios,Temple Run 2,4.3," 100,000,000 - 500,000,000 ",Rated for 7+,https://www.google.com/url?q=http://www.imangistudios.com/contact.html&sa=D&usg=AFQjCNHmJGmIKtvMBmjP32ju-nrNezjqDg,Top Developer,,https://play.google.com/store/apps/details?id=com.imangi.templerun2,/store/apps/developer?id=Imangi+Studios,,,"Imangi Studios
9650 Strickland Road Suite 103-108
Raleigh, NC 27615",Action,com.imangi.templerun2,Offers in-app purchases,
